"","Pathway_Total","Hits","P_val","P_adj","NES","EC.Hits"
"Methionine and cysteine metabolism",66,66,0.01917,0.3526,-1.383,EC0001236;EC0001143;EC0001144;EC00059;EC000523;EC00056;EC00057;EC00027;EC00058;EC0007;EC0008;EC0001326;EC0001327;EC0001214;EC000537;EC0001329;EC0001196;EC0001197;EC000215;EC000216;EC0001330;EC0001273;EC0001274;EC0001283;EC0001284;EC0001285;EC000843;EC000844;EC0001317;EC0001318;EC0001319;EC000472;EC000473;EC000476;EC0001321;EC0001322;EC0001323;EC0001332;EC0001333;EC0001334;EC0001215;EC0001331;EC000798;EC000799;EC000800;EC0001335;EC0001336;EC0001188;EC0001189;EC0001340;EC0001338;EC0001339;EC0001337;EC0001747;EC000718;EC000719;EC000720;EC000721;EC000662;EC000663;EC000669;EC0001306;EC0001307;EC0001308
"Methionine and cysteine metabolism",66,66,0.01917,0.3526,-1.383,EC000840;EC000841;EC0001006;EC0001005;EC0001007;EC000254;EC000169;EC0001001;EC0001002;EC0001003;EC0001004;EC000831;EC000215;EC000216
"Methionine and cysteine metabolism",66,66,0.01917,0.3526,-1.383,EC00032;EC00033;EC000524;EC000525;EC000526;EC000535;EC000536;EC000620
"Methionine and cysteine metabolism",66,66,0.01917,0.3526,-1.383,EC0001576;EC00032;EC00033;EC0001443;EC0001575;EC0001373;EC0001374;EC0001529;EC000978;EC0001393;EC00024;EC0001573;EC0001574;EC0001572;EC0001198;EC0001379;EC0001377;EC0001375;EC0001376;EC0001394;EC0001395
"Methionine and cysteine metabolism",66,66,0.01917,0.3526,-1.383,EC00035;EC00036;EC00037;EC00038;EC00039;EC00032;EC00033;EC0001055;EC0001056;EC0001057;EC0001058;EC0001176;EC0001177;EC0001178;EC0001179;EC000183;EC000184;EC000185;EC000186;EC000847;EC000848;EC000849;EC000850;EC000293;EC000582;EC0001156;EC0001157;EC00043;EC00044;EC000275;EC000276;EC000277;EC000107;EC000812;EC000813;EC000814;EC000815;EC00049
"Methionine and cysteine metabolism",66,66,0.01917,0.3526,-1.383,EC0001375;EC0001376;EC0001453;EC0001451;EC0001452;EC000831;EC0001450;EC0001379;EC0001454;EC00032;EC00033;EC0001377
"Methionine and cysteine metabolism",66,66,0.01917,0.3526,-1.383,EC00027;EC000142;EC00060;EC00061
"Methionine and cysteine metabolism",66,66,0.01917,0.3526,-1.383,EC00035;EC00036;EC00037;EC00038;EC00039;EC00034;EC00032;EC00033;EC00063;EC00064;EC00065;EC00066;EC00067;EC00068;EC00074;EC00075;EC00076;EC00077;EC00078;EC00079;EC00080;EC00081;EC0004;EC000643;EC000370;EC0001137;EC0001138;EC0001139;EC0001140;EC0001141;EC00029;EC00030;EC00031;EC000167;EC000168;EC000131;EC000534;EC000128;EC000129;EC00055
"Methionine and cysteine metabolism",66,66,0.01917,0.3526,-1.383,EC000222;EC000195;EC000601;EC000602;EC000603;EC000604;EC000773;EC000774;EC000497;EC00056;EC00057;EC000445;EC000446;EC000447;EC000448;EC000192;EC000746;EC000747;EC000748;EC0001734;EC000519;EC000331;EC000332;EC000708
"Methionine and cysteine metabolism",66,66,0.01917,0.3526,-1.383,EC0001728;EC0001729;EC000601;EC000602;EC000603;EC000604;EC000331;EC000332
"Bile acid biosynthesis",35,35,0.02322,0.3526,1.516,EC0001541;EC0001542;EC0001543;EC0001571;EC0001570
"Bile acid biosynthesis",35,35,0.02322,0.3526,1.516,EC000152;EC00041;EC00040;EC000192;EC000133;EC000134;EC000135;EC000136;EC000137
"Bile acid biosynthesis",35,35,0.02322,0.3526,1.516,EC000845;EC00024;EC000169;EC0001443;EC00049
"Bile acid biosynthesis",35,35,0.02322,0.3526,1.516,EC0001370;EC0001394;EC0001395;EC0001360;EC000845;EC0001393;EC000692
"Bile acid biosynthesis",35,35,0.02322,0.3526,1.516,EC000302;EC000303;EC00035;EC00036;EC00037;EC00038;EC00039;EC00032;EC00033;EC000299;EC00059;EC000558;EC000559;EC000967;EC000921;EC000922;EC000112;EC000113;EC000114;EC000197;EC000601;EC000602;EC000603;EC000604;EC0001720;EC0001721;EC0001722;EC000133;EC000134;EC000135;EC000136;EC000137;EC000429;EC000430;EC000431;EC000159;EC000963;EC000964;EC000427;EC000428;EC0001287;EC000682;EC000683;EC000680;EC000681;EC000394;EC000395;EC000396;EC000138;EC000722;EC00046;EC00047;EC000242;EC000851;EC000852;EC000693;EC000694;EC00050;EC000131;EC000146;EC0001184;EC0001185;EC000727;EC000728;EC000975;EC000449;EC000943;EC000944;EC000208;EC000128;EC000129;EC00093;EC00094;EC000223;EC000224;EC000225;EC000226;EC000490;EC00074;EC00075;EC00076;EC00077;EC00078;EC00079;EC00080;EC00081;EC000307;EC000308;EC000309;EC000310;EC000311;EC00055
"Bile acid biosynthesis",35,35,0.02322,0.3526,1.516,EC00035;EC00036;EC00037;EC00038;EC00039;EC00032;EC00033;EC00063;EC00064;EC00065;EC00066;EC00067;EC00068;EC000138;EC000557;EC00074;EC00075;EC00076;EC00077;EC00078;EC00079;EC00080;EC00081;EC000605;EC000606;EC000607;EC00048;EC000867;EC000868;EC00045;EC00046;EC00047;EC00043;EC00044;EC000166;EC000260;EC000261;EC000262;EC000263;EC00055
"Bile acid biosynthesis",35,35,0.02322,0.3526,1.516,EC000733;EC000734;EC000735;EC00035;EC00036;EC00037;EC00038;EC00039;EC000685;EC000901;EC00048;EC0001406;EC0001407;EC00056;EC00057;EC000484;EC000485;EC000486;EC00046;EC00047
"Bile acid biosynthesis",35,35,0.02322,0.3526,1.516,EC000142;EC00060;EC00061;EC00027;EC00059;EC00058
"Bile acid biosynthesis",35,35,0.02322,0.3526,1.516,EC000138;EC000164;EC000165;EC000112;EC000113;EC000114;EC0001013;EC000634;EC000321;EC000322;EC000318;EC000319;EC000433;EC000434;EC000107;EC00045;EC00043;EC00044;EC00093;EC00094;EC000211;EC000212;EC000213;EC000214;EC00049;EC000331;EC000332;EC00050
"Bile acid biosynthesis",35,35,0.02322,0.3526,1.516,EC0001213
"Carbon fixation",15,15,0.03002,0.3526,1.564,EC00035;EC00036;EC00037;EC00038;EC00039;EC0001;EC00032;EC00033;EC0001315;EC000574;EC000339;EC000340;EC000341;EC000477;EC000976;EC000174;EC0001532;EC0001533;EC0001527;EC0001761;EC0001530;EC0001531;EC0001590;EC0001591;EC00023;EC0001198;EC0001502;EC0001589;EC0001760;EC000549;EC000550;EC0001508;EC00056;EC00057;EC000201;EC00046;EC00047
"Carbon fixation",15,15,0.03002,0.3526,1.564,EC000801;EC000424;EC000425
"Carbon fixation",15,15,0.03002,0.3526,1.564,EC00027;EC000142;EC00060;EC00061
"Carbon fixation",15,15,0.03002,0.3526,1.564,EC000437;EC000438;EC000439;EC000440;EC000441;EC000442;EC00041;EC00040;EC000142;EC000215;EC000216;EC000255;EC000256;EC0001172;EC0001173;EC000619;EC000231;EC000232;EC000801;EC00059;EC00060;EC00061;EC0001170;EC0001171;EC000424;EC000425;EC00027;EC00082;EC00083;EC00058;EC000169;EC0001290;EC0001291;EC000152;EC000529;EC000530;EC0001292;EC0001293;EC0001294;EC000723;EC000724
"Carbon fixation",15,15,0.03002,0.3526,1.564,EC0001445;EC000405;EC000406;EC000575;EC000576;EC0001774;EC000793;EC000794
"Carbon fixation",15,15,0.03002,0.3526,1.564,EC00035;EC00036;EC00037;EC00038;EC00039;EC000160;EC000161;EC000162;EC000163;EC00063;EC00064;EC00065;EC00066;EC00067;EC00068;EC000260;EC000261;EC000262;EC000263;EC000879;EC000880;EC000881;EC00045;EC000832;EC000833;EC000834;EC000835;EC000836;EC000837;EC0001149;EC0001150;EC000177;EC000928;EC000929;EC00084;EC00085;EC000426;EC000179;EC000867;EC000868;EC000138;EC00029;EC00030;EC00031;EC000159;EC00062;EC000733;EC000734;EC000735;EC000344;EC000345;EC000346;EC000808;EC000809;EC000810;EC000811;EC00049;EC00074;EC00075;EC00076;EC00077;EC00078;EC00079;EC00080;EC00081;EC00055;EC0001147;EC0001148;EC000323;EC000324;EC000325;EC000326
"Carbon fixation",15,15,0.03002,0.3526,1.564,EC00043;EC00044;EC00059;EC00058;EC00027
"Carbon fixation",15,15,0.03002,0.3526,1.564,EC000709
"Carbon fixation",15,15,0.03002,0.3526,1.564,EC00034;EC000934;EC000935;EC0001016;EC000647;EC000648;EC000649;EC000640;EC000641;EC000642;EC0001170;EC00029;EC00030;EC00031;EC000174;EC000977;EC000650;EC000651;EC000337;EC000338;EC0001111;EC000976;EC000960;EC000961;EC000962;EC000941;EC000729;EC000619;EC000255;EC000256;EC000108;EC000109;EC000820;EC000821;EC0001198;EC0001118;EC000487;EC000488;EC000437;EC000438;EC000439;EC000440;EC000441;EC000442;EC00069;EC00070;EC00071;EC00072;EC00073;EC00082;EC00083;EC00041;EC00040;EC000652;EC000653;EC0001201;EC000126;EC000127;EC000122;EC000123;EC000286;EC000501;EC00099;EC000100;EC000101;EC000102;EC000103;EC000529;EC000530;EC000187;EC000700;EC000701;EC000401;EC00060;EC00061;EC0001350;EC0001351;EC0001352;EC000201;EC00043;EC00044;EC000330;EC000644
"Carbon fixation",15,15,0.03002,0.3526,1.564,EC00035;EC00036;EC00037;EC00038;EC00039;EC00048;EC000275;EC000276;EC000277;EC00074;EC00075;EC00076;EC00077;EC00078;EC00079;EC00080;EC00081;EC00049;EC000879;EC000880;EC000881;EC00056;EC00057;EC000484;EC000485;EC000486
"Benzoate degradation via CoA ligation",6,6,0.03182,0.3526,-1.652,EC000607;EC000605;EC000857;EC000858;EC000344;EC000345;EC000346;EC0001124;EC000107;EC000192;EC00046;EC00047;EC00042;EC00027;EC0001125;EC000553;EC000554;EC000555;EC000556;EC000768;EC000397;EC000398;EC000331;EC000332;EC000384;EC000385
"Benzoate degradation via CoA ligation",6,6,0.03182,0.3526,-1.652,EC00041;EC00040;EC00043;EC00044;EC000677;EC000958;EC00027;EC000647;EC000648;EC000649;EC000937;EC000938;EC000939;EC000675;EC000676;EC000330;EC00060;EC00061;EC000656;EC00099;EC000100;EC000101;EC000102;EC000103;EC000192;EC000645;EC000169;EC000215;EC000216;EC0001353;EC0001354;EC000644;EC0001767
"Benzoate degradation via CoA ligation",6,6,0.03182,0.3526,-1.652,EC000157;EC000158;EC000816;EC000817;EC000818;EC000819
"Benzoate degradation via CoA ligation",6,6,0.03182,0.3526,-1.652,EC0001648;EC000331;EC000332;EC0001649;EC0001650;EC0001;EC0001651;EC0001459;EC0001460;EC0001591;EC000339;EC000340;EC000341;EC0001152;EC000574;EC0001468;EC0001469;EC0001305;EC0001455;EC0001456;EC0001457;EC0001587;EC0001530;EC0001531;EC0001154;EC000477;EC0001589;EC000601;EC000602;EC000603;EC000604;EC0001579;EC00056;EC00057;EC000201;EC00032;EC00033;EC0001153;EC0001280;EC0001281;EC0001282;EC0001276;EC0001277;EC0001590;EC0001629;EC0001527;EC0001563;EC0001655;EC0001656;EC0001568
